Drug,CYP***,Action,Species,Database,refence_1,reference_2,reference_3,Strength
Lercanidipine hydrochloride (JAN/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Letrozole (JAN/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Levomethadyl acetate (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Levomethadyl acetate hydrochloride (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Levobupivacaine hydrochloride (JAN/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Levomethadone (INN), D05987, substrate, Not Specified, KEGG, , , , 
Levomethadone hydrochloride, D05987, substrate, Not Specified, KEGG, , , , 
Estradiol - levonorgestrel mixt, D05987, substrate, Not Specified, KEGG, , , , 
Lidocaine (JP17/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Lidocaine hydrochloride (JAN/USP), D05987, substrate, Not Specified, KEGG, , , , 
Lidocaine hydrochloride monohydrate, D05987, substrate, Not Specified, KEGG, , , , 
Lidocaine hydrochloride - epinephrine bitartrate mixt, D05987, substrate, Not Specified, KEGG, , , , 
Loratadine (JAN/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Losartan (INN), D05987, substrate, Not Specified, KEGG, , , , 
Losartan potassium (JP17/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Lovastatin (USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Manidipine hydrochloride (JP17), D05987, substrate, Not Specified, KEGG, , , , 
Meloxicam (JAN/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Methylergonovine maleate (USP), D05987, substrate, Not Specified, KEGG, , , , 
Methylprednisolone (JP17/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Methylprednisolone sodium succinate (JAN/USP), D05987, substrate, Not Specified, KEGG, , , , 
Methylprednisolone acetate (JAN/USP), D05987, substrate, Not Specified, KEGG, , , , 
Mexiletine (INN), D05987, substrate, Not Specified, KEGG, , , , 
Mexiletine hydrochloride (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Miconazole (JP17/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Miconazole nitrate (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Mometasone (INN), D05987, substrate, Not Specified, KEGG, , , , 
Mometasone furoate (JAN/USP), D05987, substrate, Not Specified, KEGG, , , , 
Nateglinide (JP17/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Methadone (BAN), D05987, substrate, Not Specified, KEGG, , , , 
Methadone hydrochloride (JAN/USP), D05987, substrate, Not Specified, KEGG, , , , 
Methoxyflurane (USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Mexazolam (JAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Mianserin (INN), D05987, substrate, Not Specified, KEGG, , , , 
Mianserin hydrochloride (JAN/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Midazolam (JAN/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Midazolam hydrochloride (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Midazolam maleate (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Mirtazapine (JAN/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Modafinil (JAN/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Montelukast (INN), D05987, substrate, Not Specified, KEGG, , , , 
Montelukast sodium (JP17/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Mosapride (INN), D05987, substrate, Not Specified, KEGG, , , , 
Mosapride citrate hydrate (JP17), D05987, substrate, Not Specified, KEGG, , , , 
Mozavaptane hydrochloride (JAN), D05987, substrate, Not Specified, KEGG, , , , 
Nalfurafine hydrochloride (JAN/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Nelfinavir (INN), D05987, substrate, Not Specified, KEGG, , , , 
Nelfinavir mesylate (USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Naratriptan (INN), D05987, substrate, Not Specified, KEGG, , , , 
Naratriptan hydrochloride (JAN/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Nilotinib (USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Nilotinib hydrochloride hydrate (JAN), D05987, substrate, Not Specified, KEGG, , , , 
Nordazepam (INN), D05987, substrate, Not Specified, KEGG, , , , 
Norfloxacin (JP17/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Nicardipine (INN), D05987, substrate, Not Specified, KEGG, , , , 
Nicardipine hydrochloride (JP17/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Nifedipine (JP17/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Nilvadipine (JP17/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Nimodipine (USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Nisoldipine (JAN/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Nitrendipine (JP17/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Ofloxacin (JP17/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Ofloxacin hydrochloride, D05987, substrate, Not Specified, KEGG, , , , 
Olmesartan medoxomil - azelnidipine mixt, D05987, substrate, Not Specified, KEGG, , , , 
Omeprazole (JP17/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Omeprazole sodium (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Omeprazole magnesium (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Omeprazole sodium injection (JAN), D05987, substrate, Not Specified, KEGG, , , , 
Ondansetron (JAN/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Ondansetron hydrochloride hydrate (JAN/USP), D05987, substrate, Not Specified, KEGG, , , , 
Oxycodone (USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Oxycodone hydrochloride (USP), D05987, substrate, Not Specified, KEGG, , , , 
Oxycodone terephthalate (USP), D05987, substrate, Not Specified, KEGG, , , , 
Oxycodone hydrochloride hydrate (JP17), D05987, substrate, Not Specified, KEGG, , , , 
Paclitaxel (JAN/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Palonosetron (INN), D05987, substrate, Not Specified, KEGG, , , , 
Palonosetron hydrochloride (JAN/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Acetaminophen (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Perospirone hydrochloride hydrate (JAN), D05987, substrate, Not Specified, KEGG, , , , 
Pimozide (JP17/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Piroxicam (JP17/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Pranlukast (INN), D05987, substrate, Not Specified, KEGG, , , , 
Pranlukast hydrate (JP17), D05987, substrate, Not Specified, KEGG, , , , 
Pravastatin (INN), D05987, substrate, Not Specified, KEGG, , , , 
Pravastatin sodium (JP17/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Praziquantel (JAN/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Progesterone (JP17/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Propranolol (INN), D05987, substrate, Not Specified, KEGG, , , , 
Propranolol hydrochloride (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Propafenone (INN), D05987, substrate, Not Specified, KEGG, , , , 
Propafenone hydrochloride (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Propiverine (INN), D05987, substrate, Not Specified, KEGG, , , , 
Propiverine hydrochloride (JP17), D05987, substrate, Not Specified, KEGG, , , , 
Propranolol (INN), D05987, substrate, Not Specified, KEGG, , , , 
Propranolol hydrochloride (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Quinidine (BAN), D05987, substrate, Not Specified, KEGG, , , , 
Quinidine gluconate (USP), D05987, substrate, Not Specified, KEGG, , , , 
Quinidine polygalacturonate, D05987, substrate, Not Specified, KEGG, , , , 
Quinidine sulfate (USP), D05987, substrate, Not Specified, KEGG, , , , 
Quinidine phenylethylbarbiturate, D05987, substrate, Not Specified, KEGG, , , , 
Quinine (BAN), D05987, substrate, Not Specified, KEGG, , , , 
Quinine hydrochloride hydrate (JP17), D05987, substrate, Not Specified, KEGG, , , , 
Quinine sulfate (USP), D05987, substrate, Not Specified, KEGG, , , , 
Quinine ascorbate (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Quinine dihydrochloride, D05987, substrate, Not Specified, KEGG, , , , 
Quinupristin - dalfopristin mixt, D05987, substrate, Not Specified, KEGG, , , , 
Quazepam (JAN/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Quetiapine (INN), D05987, substrate, Not Specified, KEGG, , , , 
Quetiapine fumarate (JP17/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Rabeprazole sodium (JP17/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Rabeprazole (INN), D05987, substrate, Not Specified, KEGG, , , , 
Ramelteon (JAN/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Rifabutin (JAN/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Rifampin (USP), D05987, substrate, Not Specified, KEGG, , , , 
Rifampicin sodium, D05987, substrate, Not Specified, KEGG, , , , 
Risperidone (JP17/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Ritonavir (JAN/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Rivaroxaban (JAN/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Roxithromycin (JP17/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Salmeterol (USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Salmeterol xinafoate (JAN/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Salmeterol xinafoate - fluticasone propionate mixt, D05987, substrate, Not Specified, KEGG, , , , 
Saquinavir (JAN/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Saquinavir mesylate (USP), D05987, substrate, Not Specified, KEGG, , , , 
Sarpogrelate (INN), D05987, substrate, Not Specified, KEGG, , , , 
Sarpogrelate hydrochloride (JP17), D05987, substrate, Not Specified, KEGG, , , , 
Selegiline (USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Selegiline hydrochloride (JAN/USP), D05987, substrate, Not Specified, KEGG, , , , 
Sevoflurane (JP17/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Sertraline (INN), D05987, substrate, Not Specified, KEGG, , , , 
Sertraline hydrochloride (JAN/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Sildenafil (INN), D05987, substrate, Not Specified, KEGG, , , , 
Sildenafil citrate (JAN/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Simvastatin (JP17/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Solifenacin succinate (JAN/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Sorafenib tosylate (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Stiripentol (JAN/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Sunitinib malate (JAN/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Tacrolimus (INN), D05987, substrate, Not Specified, KEGG, , , , 
Tacrolimus (USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Tadalafil (JAN/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Tamibarotene (JAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Tamoxifen (INN), D05987, substrate, Not Specified, KEGG, , , , 
Tamoxifen citrate (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Tandospirone (INN), D05987, substrate, Not Specified, KEGG, , , , 
Tandospirone citrate (JAN/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Temazepam (USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Telithromycin (JAN/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Telmisartan - amlodipine besilate mixt, D05987, substrate, Not Specified, KEGG, , , , 
Temsirolimus (JAN/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Teniposide (USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Terbinafine (USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Terbinafine hydrochloride (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Terfenadine (JAN/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Testosterone (JAN/USP), D05987, substrate, Not Specified, KEGG, , , , 
Testosterone cypionate (USP), D05987, substrate, Not Specified, KEGG, , , , 
Testosterone enanthate (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Testosterone propionate (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Testosterone ketolaurate (USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Testosterone phenylacetate (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Testosterone undecanoate (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Testosterone decanoate, D05987, substrate, Not Specified, KEGG, , , , 
Testosterone phenylpropionate, D05987, substrate, Not Specified, KEGG, , , , 
Tofisopam (JP17/INN), D05987, substrate, Not Specified, KEGG, , , , 
Tolterodine (USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Tolterodine tartrate (JAN/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Topiramate (JAN/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Toremifene (INN), D05987, substrate, Not Specified, KEGG, , , , 
Toremifene citrate (JAN/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Tramadol hydrochloride (JAN/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Trazodone (INN), D05987, substrate, Not Specified, KEGG, , , , 
Trazodone hydrochloride (JAN/USP), D05987, substrate, Not Specified, KEGG, , , , 
Triazolam (JAN/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Trimethadione (JP17/INN), D05987, substrate, Not Specified, KEGG, , , , 
Troleandomycin (USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Valproic acid (USP), D05987, substrate, Not Specified, KEGG, , , , 
Valproate sodium (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Calcium valproate, D05987, substrate, Not Specified, KEGG, , , , 
Valsartan - amlodipine besilate mixt, D05987, substrate, Not Specified, KEGG, , , , 
Verapamil (USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Verapamil hydrochloride (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Vinblastine (INN), D05987, substrate, Not Specified, KEGG, , , , 
Vinblastine sulfate (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Vincristine (INN), D05987, substrate, Not Specified, KEGG, , , , 
Vincristine sulfate (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Vindesine (USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Vindesine sulfate (JAN/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Vinorelbine (INN), D05987, substrate, Not Specified, KEGG, , , , 
Vinorelbine tartrate (USP), D05987, substrate, Not Specified, KEGG, , , , 
Voriconazole (JP17/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Zonisamide (JAN/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Zaleplon (JAN/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Ziprasidone (INN), D05987, substrate, Not Specified, KEGG, , , , 
Ziprasidone hydrochloride (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Ziprasidone mesylate (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Zolpidem (INN), D05987, substrate, Not Specified, KEGG, , , , 
Zolpidem tartrate (JP17/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Zopiclone (JAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Zotepine (JAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Amlodipine (USAN/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Amlodipine besylate (USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Amlodipine maleate (USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Apixaban (JAN/USAN/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Aprepitant (JAN/USAN/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Fosaprepitant dimeglumine (USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Astemizole (JAN/USP/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Axitinib (JAN/USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Caffeine (USP), 3A5, substrate, Not Specified, KEGG, , , , 
Caffeine hydrate (JP17), 3A5, substrate, Not Specified, KEGG, , , , 
Chlorphenamine (INN), 3A5, substrate, Not Specified, KEGG, , , , 
Chlorpheniramine maleate (JP17/USP), 3A5, substrate, Not Specified, KEGG, , , , 
Chlorpheniramine polistirex (USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Cyclosporine (USP), 3A5, substrate, Not Specified, KEGG, , , , 
Cortisone (INN), 3A5, substrate, Not Specified, KEGG, , , , 
Cisapride (USAN/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Cisapride (JAN), 3A5, substrate, Not Specified, KEGG, , , , 
Dexamethasone (JP17/USP/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Dexamethasone sodium phosphate (JAN/USP), 3A5, substrate, Not Specified, KEGG, , , , 
Dexamethasone metasulfobenzoate sodium (JAN), 3A5, substrate, Not Specified, KEGG, , , , 
Dexamethasone palmitate (JAN), 3A5, substrate, Not Specified, KEGG, , , , 
Dexamethasone dipropionate (USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Dexamethasone valerate (JAN), 3A5, substrate, Not Specified, KEGG, , , , 
Dexamethasone acetate (JAN/USP), 3A5, substrate, Not Specified, KEGG, , , , 
Dexamethasone acefurate (USAN/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Dexamethasone beloxil (USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Dexamethasone cipecilate (JAN/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Dexamethasone 21-acetate, 3A5, substrate, Not Specified, KEGG, , , , 
Dexamethasone isonicotinate, 3A5, substrate, Not Specified, KEGG, , , , 
Dexamethasone sodium hemisulfate, 3A5, substrate, Not Specified, KEGG, , , , 
Dexamethasone 21-tebutate, 3A5, substrate, Not Specified, KEGG, , , , 
Dexamethasone 21-valerate, 3A5, substrate, Not Specified, KEGG, , , , 
Dexamethasone phenylpropionate, 3A5, substrate, Not Specified, KEGG, , , , 
Dexamethasone phosphate, 3A5, substrate, Not Specified, KEGG, , , , 
Dexchlorpheniramine (INN), 3A5, substrate, Not Specified, KEGG, , , , 
Dexchlorpheniramine maleate (USP), 3A5, substrate, Not Specified, KEGG, , , , 
Dexpropranolol hydrochloride (USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Diltiazem (INN), 3A5, substrate, Not Specified, KEGG, , , , 
Diltiazem hydrochloride (JP17/USP), 3A5, substrate, Not Specified, KEGG, , , , 
Diltiazem malate (USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Domperidone (JP17/USAN/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Domperidone maleate, 3A5, substrate, Not Specified, KEGG, , , , 
Dutasteride (JAN/USAN/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Eplerenone (JP17/USAN/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Erythromycin (JP17/USP/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Erythromycin estolate (USP), 3A5, substrate, Not Specified, KEGG, , , , 
Erythromycin lactobionate (JP17/USP), 3A5, substrate, Not Specified, KEGG, , , , 
Erythromycin stearate (JP17/USP), 3A5, substrate, Not Specified, KEGG, , , , 
Erythromycin acistrate (USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Erythromycin gluceptate (USP), 3A5, substrate, Not Specified, KEGG, , , , 
Erythromycin propionate (USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Erythromycin salnacedin (USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Erythromycin thiocyanate, 3A5, substrate, Not Specified, KEGG, , , , 
Erythromycin stinoprate (INN), 3A5, substrate, Not Specified, KEGG, , , , 
Felodipine (JAN/USP/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Fentanyl (JAN/USAN/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Fentanyl citrate (JP17/USP), 3A5, substrate, Not Specified, KEGG, , , , 
Hydrocortisone (JP17/USP/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Hydrocortisone acetate (JP17/USP), 3A5, substrate, Not Specified, KEGG, , , , 
Hydrocortisone cypionate, 3A5, substrate, Not Specified, KEGG, , , , 
Hydrocortisone sodium phosphate (JP17/USP), 3A5, substrate, Not Specified, KEGG, , , , 
Hydrocortisone sodium succinate (JP17/USP), 3A5, substrate, Not Specified, KEGG, , , , 
Hydrocortisone succinate (JP17), 3A5, substrate, Not Specified, KEGG, , , , 
Hydrocortisone butyrate (JP17/USP), 3A5, substrate, Not Specified, KEGG, , , , 
Hydrocortisone probutate (USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Hydrocortisone valerate (USP), 3A5, substrate, Not Specified, KEGG, , , , 
Hydrocortisone hemisuccinate (USP), 3A5, substrate, Not Specified, KEGG, , , , 
Hydrocortisone aceponate (INN), 3A5, substrate, Not Specified, KEGG, , , , 
Hydrocortisone caproate (JAN), 3A5, substrate, Not Specified, KEGG, , , , 
Hydroquinine hydrobromide, 3A5, substrate, Not Specified, KEGG, , , , 
Haloperidol (JP17/USP/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Haloperidol decanoate (JAN/USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Haloperidol lactate, 3A5, substrate, Not Specified, KEGG, , , , 
Hydroxyzine (INN), 3A5, substrate, Not Specified, KEGG, , , , 
Hydroxyzine hydrochloride (JP17/USP), 3A5, substrate, Not Specified, KEGG, , , , 
Hydroxyzine pamoate (JP17/USP), 3A5, substrate, Not Specified, KEGG, , , , 
Imatinib (INN), 3A5, substrate, Not Specified, KEGG, , , , 
Imatinib mesylate (USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Indinavir (USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Indinavir sulfate (USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Indinavir sulfate ethanolate (JAN), 3A5, substrate, Not Specified, KEGG, , , , 
Irinotecan (INN), 3A5, substrate, Not Specified, KEGG, , , , 
Irinotecan hydrochloride (USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Lapatinib (INN), 3A5, substrate, Not Specified, KEGG, , , , 
Lapatinib ditosylate (USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Lercanidipine (INN), 3A5, substrate, Not Specified, KEGG, , , , 
Lercanidipine hydrochloride (JAN/USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Lovastatin (USP/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Midazolam (JAN/USP/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Midazolam hydrochloride (USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Midazolam maleate (USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Naratriptan (INN), 3A5, substrate, Not Specified, KEGG, , , , 
Naratriptan hydrochloride (JAN/USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Nateglinide (JP17/USAN/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Nifedipine (JP17/USP/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Nitrendipine (JP17/USAN/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Pimozide (JP17/USP/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Propranolol (INN), 3A5, substrate, Not Specified, KEGG, , , , 
Propranolol hydrochloride (JP17/USP), 3A5, substrate, Not Specified, KEGG, , , , 
Quetiapine (INN), 3A5, substrate, Not Specified, KEGG, , , , 
Quetiapine fumarate (JP17/USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Quinine (BAN), 3A5, substrate, Not Specified, KEGG, , , , 
Quinine hydrochloride hydrate (JP17), 3A5, substrate, Not Specified, KEGG, , , , 
Quinine sulfate (USP), 3A5, substrate, Not Specified, KEGG, , , , 
Quinine ascorbate (USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Quinine dihydrochloride, 3A5, substrate, Not Specified, KEGG, , , , 
Rivaroxaban (JAN/USAN/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Salmeterol (USAN/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Salmeterol xinafoate (JAN/USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Saquinavir (JAN/USP/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Saquinavir mesylate (USP), 3A5, substrate, Not Specified, KEGG, , , , 
Sildenafil (INN), 3A5, substrate, Not Specified, KEGG, , , , 
Sildenafil citrate (JAN/USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Tacrolimus (INN), 3A5, substrate, Not Specified, KEGG, , , , 
Tacrolimus (USAN/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Telithromycin (JAN/USAN/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Terfenadine (JAN/USAN/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Testosterone (JAN/USP), 3A5, substrate, Not Specified, KEGG, , , , 
Testosterone cypionate (USP), 3A5, substrate, Not Specified, KEGG, , , , 
Testosterone enanthate (JP17/USP), 3A5, substrate, Not Specified, KEGG, , , , 
Testosterone propionate (JP17/USP), 3A5, substrate, Not Specified, KEGG, , , , 
Testosterone ketolaurate (USAN/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Testosterone phenylacetate (USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Testosterone undecanoate (USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Testosterone decanoate, 3A5, substrate, Not Specified, KEGG, , , , 
Testosterone phenylpropionate, 3A5, substrate, Not Specified, KEGG, , , , 
Trazodone (INN), 3A5, substrate, Not Specified, KEGG, , , , 
Trazodone hydrochloride (JAN/USP), 3A5, substrate, Not Specified, KEGG, , , , 
Verapamil (USAN/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Verapamil hydrochloride (JP17/USP), 3A5, substrate, Not Specified, KEGG, , , , 
Zaleplon (JAN/USAN/INN), 3A5, substrate, Not Specified, KEGG, , , , 
Ziprasidone (INN), 3A5, substrate, Not Specified, KEGG, , , , 
Ziprasidone hydrochloride (USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Ziprasidone mesylate (USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Zolpidem (INN), 3A5, substrate, Not Specified, KEGG, , , , 
Zolpidem tartrate (JP17/USAN), 3A5, substrate, Not Specified, KEGG, , , , 
Amlodipine (USAN/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Amlodipine besylate (USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Amlodipine maleate (USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Aprepitant (JAN/USAN/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Fosaprepitant dimeglumine (USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Astemizole (JAN/USP/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Caffeine (USP), 3A7, substrate, Not Specified, KEGG, , , , 
Caffeine hydrate (JP17), 3A7, substrate, Not Specified, KEGG, , , , 
Chlorphenamine (INN), 3A7, substrate, Not Specified, KEGG, , , , 
Chlorpheniramine maleate (JP17/USP), 3A7, substrate, Not Specified, KEGG, , , , 
Chlorpheniramine polistirex (USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Cyclosporine (USP), 3A7, substrate, Not Specified, KEGG, , , , 
Cisapride (USAN/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Cisapride (JAN), 3A7, substrate, Not Specified, KEGG, , , , 
